requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T17-S1-001	65	1	EDITOR_AUTOMATED	Template v1 authoring uses Option B Canvas Focus as its information-architecture baseline.
RW-T17-S1-002	65	2	EDITOR_AUTOMATED	Options A and C remain comparison prototypes only.
RW-T17-S1-003	65	3	EDITOR_AUTOMATED	The comparison prototypes do not define three product modes.
RW-T17-S1-004	65	4	EDITOR_AUTOMATED	Later implementation need not maintain three pages.
RW-T17-S1-005	66	1	EDITOR_AUTOMATED	The fixed-physical-size Canvas continuously occupies the visual center.
RW-T17-S1-006	66	2	EDITOR_AUTOMATED	Structure, node catalog, Asset, Definition, and exchange share a collapsible left navigation panel.
RW-T17-S1-007	66	3	EDITOR_AUTOMATED	Properties use a collapsible right inspector.
RW-T17-S1-008	66	4	EDITOR_AUTOMATED	Data, Authoritative Preview, problems, and save are invoked through a compact dock.
RW-T17-S1-009	66	5	EDITOR_AUTOMATED	A selected node may expose a lightweight contextual toolbar.
RW-T17-S1-010	66	6	EDITOR_AUTOMATED	The contextual toolbar triggers only the same DesignDSL editing commands and cannot create a second property fact source.
RW-T17-S1-011	67	1	EDITOR_AUTOMATED	The top bar continuously shows Template identity, permanent exact StaticSchema binding, readiness or revision, and save status.
RW-T17-S1-012	67	2	EDITOR_AUTOMATED	The scenario switcher is a controlled throwaway-prototype fixture for invalid, drift, binding, conflict, and preview-failure states.
RW-T17-S1-013	67	3	EDITOR_AUTOMATED	The scenario switcher is not permanent author-workbench business navigation.
RW-T17-S1-014	68	1	EDITOR_AUTOMATED	The Canvas provides only non-authoritative editing feedback.
RW-T17-S1-015	68	2	EDITOR_AUTOMATED	Authoritative Preview is an independent action that runs the complete Evaluator and RenderEngine path.
RW-T17-S1-016	68	3	EDITOR_AUTOMATED	Authoritative Preview and formal image output reuse the same Profile path.
RW-T17-S1-017	68	4	EDITOR_AUTOMATED	Browser draft graphics, Asset placeholders, and LayoutTrace cannot be presented as final RenderOutput.
RW-T17-S1-018	69	1	EDITOR_AUTOMATED	Ticket17 freezes workflow, information architecture, and interaction projection only.
RW-T17-S1-019	69	2	EDITOR_AUTOMATED	Ticket17 adds no Template or Asset API, database, product route, or runtime semantics.
RW-T17-S1-020	69	3	EDITOR_AUTOMATED	Later product visual tokens may evolve.
RW-T17-S1-021	69	4	EDITOR_AUTOMATED	Visual evolution cannot break Ticket17 authority boundaries or information hierarchy.
RW-T17-S2-001	73	1	EDITOR_AUTOMATED	Left navigation exposes Structure, Nodes, Assets, Definitions, and Exchange task entries in Chinese.
RW-T17-S2-002	73	2	EDITOR_AUTOMATED	Structure tree, create panel, and inspector derive from the same NodeContractCatalog projection.
RW-T17-S2-003	73	3	EDITOR_AUTOMATED	Asset, Definition, and Exchange panels obey their own contracts and cannot mix references, sample input, or import source into DesignDSL.
RW-T17-S2-004	74	1	EDITOR_AUTOMATED	The central Canvas explicitly displays authored millimeter geometry and non-authoritative status.
RW-T17-S2-005	74	2	EDITOR_AUTOMATED	Text font size is displayed in points.
RW-T17-S2-006	74	3	EDITOR_AUTOMATED	DPI appears only in Authoritative Preview requests.
RW-T17-S2-007	74	4	EDITOR_AUTOMATED	Stack and Grid proportional or constraint feedback is responsive only within the fixed Canvas.
RW-T17-S2-008	74	5	EDITOR_AUTOMATED	The editor cannot explain DesignDSL layout with web breakpoints or CSS responsive semantics.
RW-T17-S2-009	75	1	EDITOR_AUTOMATED	The right property inspector is the primary node-editing entry point.
