requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T10-S1-001	29	1	LAYOUT_SHAPING	first exact layout contract ID 为 renderweave-layout/1.0。
RW-T10-S1-002	29	2	WIRE_CANONICAL_DIGEST	Layout Profile 必须 explicit 写入 RenderDocument。
RW-T10-S1-003	29	3	WIRE_CANONICAL_DIGEST	Layout Profile 由 DesignDSL/RenderDSL compatibility table 选择。
RW-T10-S1-004	29	4	SECURITY_FAULT	Render Request/caller 不得任意 select、upgrade 或 request fallback。
RW-T10-S1-005	29	5	WIRE_CANONICAL_DIGEST	任何 observable layout-algorithm change 必须新 Layout Profile。
RW-T10-S1-006	29	6	WIRE_CANONICAL_DIGEST	若同时改变 authored wire/Property Identity/default/validation，还必须新 dslVersion，不能只换 Layout Profile。
RW-T10-S1-007	30	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Evaluator 负责 materialize Binding/Definition/Repeat/Conditional/TemplateUse/logical AssetRef。
RW-T10-S1-008	30	2	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Evaluator 按 actual consumer 产生 one-to-one RenderResource manifest 与 ordered static Node tree。
RW-T10-S1-009	30	3	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	TemplateUse/child Canvas lower 为无 Template handle 的 static compositionViewport。
RW-T10-S1-010	30	4	LAYOUT_SHAPING	RenderDocument 保留 Stack/Grid/Placement/viewport rules，不携 final x-y/breaks/glyph/derived boxes。
RW-T10-S1-011	31	1	LAYOUT_SHAPING	RenderEngine 是 layout authority，完成 resource prep/measure/arrange/final shaping-reflow/draw。
RW-T10-S1-012	31	2	LAYOUT_SHAPING	Engine 内部产生 LaidOutScene。
RW-T10-S1-013	31	3	SECURITY_FAULT	LaidOutScene/derived coordinates/glyphs/boxes/tree 不回写 DesignDSL/revision/RenderDocument，且无独立 lifecycle。
RW-T10-S1-014	32	1	EDITOR_AUTOMATED	browser canvas 只能提供同 contract 的 non-authoritative feedback。
RW-T10-S1-015	32	2	RENDERER_OUTPUT	authoritative preview 与 formal output 必须进入同一 RenderEngine。
RW-T10-S1-016	32	3	LAYOUT_SHAPING	现有 busbox engine 能力不足，后续必须扩展为 explicit RenderWeave Layout Profile support。
RW-T10-S1-017	32	4	SECURITY_FAULT	Adapter 可转换 wire/unit，但不得 pre-layout、silent-simulate 或 degrade semantics。
RW-T10-S1-018	33	1	WIRE_CANONICAL_DIGEST	RenderDocument 必须 expand all NodeContract defaults。
RW-T10-S1-019	33	2	WIRE_CANONICAL_DIGEST	RenderDocument 按 final materialized order 保存 children。
RW-T10-S1-020	33	3	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	每个 occurrence 携按 final-tree preorder 分配的 opaque occurrenceId。
RW-T10-S1-021	33	4	SECURITY_FAULT	full OccurrencePath 与 optional source-node link 只存在 Rendering request sidecar。
RW-T10-S1-022	33	5	SECURITY_FAULT	RenderDocument 不含 Binding/Definition/dynamic decisions/logical AssetRef/editor state/Template identity/default omission info。
RW-T10-S2-001	37	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	render:false、false Conditional、zero-item Repeat 在 measure/layout/dynamic-Asset/output 前移除 whole subtree。
RW-T10-S2-002	37	2	LAYOUT_SHAPING	被 structural-prune 的 subtree 不占 size 或 Stack gap。
RW-T10-S2-003	37	3	LAYOUT_SHAPING	Stack gap 只存在 final materialized adjacent children 之间。
RW-T10-S2-004	37	4	LAYOUT_SHAPING	expanded authored occurrence order 同时决定 layout traversal 与 paint order。
RW-T10-S2-005	38	1	LAYOUT_SHAPING	visible:false 保留 resource resolution/measure/layout，skip self+descendant draw。
RW-T10-S2-006	38	2	LAYOUT_SHAPING	opacity:0 保留 resources/measure/layout/failure，只允许 draw-stage optimize。
RW-T10-S2-007	38	3	SECURITY_FAULT	不可见状态不得 mask missing-font/image-decode/layout error。
RW-T10-S2-008	38	4	ASSET_CAPABILITY_CONCURRENCY	static authored AssetRef readiness/index validation 独立于 runtime pruning。
RW-T10-S2-009	39	1	LAYOUT_SHAPING	Engine 先 prepare exact font/image sizes，再 bottom-up measure、top-down arrange、final-width reflow/shaping、draw。
RW-T10-S2-010	39	2	SECURITY_FAULT	resource/measure/layout/shaping/draw-precondition 任一失败使 whole request fail，不返回 partial Scene/Trace/Output。
RW-T10-S3-001	43	1	LAYOUT_SHAPING	authored geometry/padding/margin/gap/shape-stroke/vector-coordinate 用 mm。
RW-T10-S3-002	43	2	LAYOUT_SHAPING	fontSize/fixed-line-height/absolute-letter-spacing/Text-stroke 用 pt；scale/ratio/weight unitless；rotation degree。
RW-T10-S3-003	43	3	RENDERER_OUTPUT	DPI 只在 raster request 生效，omitted=96。
RW-T10-S3-004	43	4	LAYOUT_SHAPING	DPI 不参与 physical layout/font metrics/Image HUG/shrink-to-fit。
RW-T10-S3-005	44	1	LAYOUT_SHAPING	lowering 以 pt=mm×360/127 转换 physical quantities。
RW-T10-S3-006	44	2	LAYOUT_SHAPING	每个 decimal 只在 lowering boundary quantize once 到 6 decimals HALF_EVEN；native pt/unitless/degree 同样 quantize。
RW-T10-S3-007	44	3	WIRE_CANONICAL_DIGEST	量化后 -0→0，integer 保持 exact。
RW-T10-S3-008	44	4	SECURITY_FAULT	量化后 nonfinite/out-of-range/contract violation 直接 fail，不 clamp。
RW-T10-S3-009	44	5	LAYOUT_SHAPING	rotation 不作 360 normalize。
RW-T10-S3-010	45	1	LAYOUT_SHAPING	Layout Profile 使用 binary64、fixed eval order，禁止 result-affecting fast-math/FMA contraction。
RW-T10-S3-011	45	2	LAYOUT_SHAPING	intermediate results 不再 quantize。
