requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T06-S1-001	20	1	DESIGN_INPUT_EXPRESSION	每次 root Template Evaluation 只接收一个 request-scoped RenderInput。
RW-T06-S1-002	20	2	DESIGN_INPUT_EXPRESSION	RenderInput 必须含一个 aggregate rootDocument。
RW-T06-S1-003	20	3	DESIGN_INPUT_EXPRESSION	RenderInput 可省略 top-level customValues[]。
RW-T06-S1-004	20	4	SECURITY_FAULT	CSV/Excel/DB/HTTP Connector 必须在 Template boundary 外聚合并 normalize 数据。
RW-T06-S1-005	20	5	SECURITY_FAULT	Connector 不得成为第二 data root、DesignDSL node 或 runtime connection config。
RW-T06-S1-006	20	6	WIRE_CANONICAL_DIGEST	RenderInput 不携带 StaticSchemaRef。
RW-T06-S1-007	20	7	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	权威目标 Schema 只能来自请求开始时 frozen root TemplateSnapshot permanent StaticSchemaRef。
RW-T06-S1-008	22	1	DESIGN_INPUT_EXPRESSION	RenderInput envelope 与每个 assignment 都是 closed strict-JSON object。
RW-T06-S1-009	22	2	SECURITY_FAULT	未知 member 必须拒绝。
RW-T06-S1-010	22	3	SECURITY_FAULT	duplicate JSON object key 必须拒绝。
RW-T06-S1-011	22	4	SECURITY_FAULT	non-object assignment 必须拒绝。
RW-T06-S1-012	22	5	SECURITY_FAULT	lexically invalid definitionId 必须拒绝。
RW-T06-S1-013	22	6	DESIGN_INPUT_EXPRESSION	rootDocument 必填且 JSON root 必须为 object。
RW-T06-S1-014	22	7	DESIGN_INPUT_EXPRESSION	customValues 省略等价 empty list。
RW-T06-S1-015	22	8	DESIGN_INPUT_EXPRESSION	每个 assignment 必须同时有 definitionId 与 strict-JSON value。
RW-T06-S1-016	22	9	SECURITY_FAULT	完整 request 先受 global byte/depth/entry budgets。
RW-T06-S1-017	22	10	SECURITY_FAULT	具体 RenderInput limits 由 capacity contract 冻结。
RW-T06-S1-018	24	1	DESIGN_INPUT_EXPRESSION	RootDocument 必须经保留 decimal 等 scalar precision 的 lossless raw-JSON boundary 进入 validator。
RW-T06-S1-019	24	2	DESIGN_INPUT_EXPRESSION	不得先经 generic object binding 改变 number 或 key。
RW-T06-S1-020	24	3	DESIGN_INPUT_EXPRESSION	每次 Evaluation 按 root TemplateSnapshot exact StaticSchemaRef 权威验证。
RW-T06-S1-021	24	4	SECURITY_FAULT	Caller 不得选择、重复或覆盖 Schema。
RW-T06-S1-022	24	5	DESIGN_INPUT_EXPRESSION	StaticSchema-undeclared fields 依既有 validator 允许，但不进入任何 observable evaluation scope。
RW-T06-S1-023	24	6	DESIGN_INPUT_EXPRESSION	声明 optional field 缺失产生 statically typed ABSENT。
RW-T06-S1-024	24	7	DESIGN_INPUT_EXPRESSION	声明 field 的 explicit null 一律 validation failure。
RW-T06-S1-025	24	8	WIRE_CANONICAL_DIGEST	Input string 不做额外 trim 或 Unicode normalization。
