requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T13-S1-001	41	1	SECURITY_FAULT	Asset Management alone generates canonical lowercase UUID-v4 assetId; clients only reference it.
RW-T13-S1-002	41	2	WIRE_CANONICAL_DIGEST	imageRef and fontRef are atomic ValueTypes with exact closed {assetId} wire.
RW-T13-S1-003	41	3	DESIGN_INPUT_EXPRESSION	Missing, non-v4, noncanonical, null, or unknown AssetRef structure is a non-confirmable hard error.
RW-T13-S1-004	41	4	DESIGN_INPUT_EXPRESSION	Expected Asset kind derives only from declared ValueType.
RW-T13-S1-005	41	5	SECURITY_FAULT	DesignDSL forbids content version, hash, URL, file, Profile, or dynamic selector in AssetRef.
RW-T13-S1-006	42	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Save or recheck recursively extracts every authored AssetRef atom from the authoritative AST.
RW-T13-S1-007	42	2	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Extraction includes baselines, defaults, literals, mapping cases, and list atoms regardless of override, use, or reachability.
RW-T13-S1-008	43	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Every atom creates a distinct dependency occurrence with asset, kind, pointer, and available stable entity locators.
RW-T13-S1-009	43	2	SECURITY_FAULT	Repeated assetId occurrences cannot be collapsed away.
RW-T13-S1-010	43	3	ASSET_CAPABILITY_CONCURRENCY	Active-current dependency projection atomically replaces current occurrences; history is excluded.
RW-T13-S1-011	43	4	SECURITY_FAULT	Authoritative recheck always re-extracts the AST; projection is never a second fact source.
RW-T13-S1-012	44	1	ASSET_CAPABILITY_CONCURRENCY	Delete proof may batch queries but retains every occurrence and hashes a stable sorted tuple set.
RW-T13-S1-013	44	2	SECURITY_FAULT	Runtime pruning or resolved current never rewrites authored projection or report facts.
RW-T13-S2-001	48	1	ASSET_CAPABILITY_CONCURRENCY	After closure freeze, Render re-admits every authored Asset occurrence of each unique snapshot.
RW-T13-S2-002	48	2	ASSET_CAPABILITY_CONCURRENCY	A shared snapshot is admitted once, not per invocation.
RW-T13-S2-003	48	3	SECURITY_FAULT	Closure Asset admission checks same scope, existence, ACTIVE, and immutable kind.
RW-T13-S2-004	48	4	SECURITY_FAULT	Closure admission reads no user metadata, pins no contentVersion, and creates no snapshot, lock, or long lease.
RW-T13-S2-005	49	1	ASSET_CAPABILITY_CONCURRENCY	Physical reads may merge by scope, asset, and kind while diagnostics retain every occurrence.
RW-T13-S2-006	49	2	SECURITY_FAULT	Problems use stable bounded root, edge, and pointer order and do not leak unreadable child Asset identities.
RW-T13-S2-007	50	1	ASSET_CAPABILITY_CONCURRENCY	Admission releases its read boundary; later resolves independently observe later current state.
RW-T13-S2-008	50	2	SECURITY_FAULT	Readiness or STALE projection is not request authorization truth.
RW-T13-S3-001	54	1	SECURITY_FAULT	Every root PUBLIC override Asset atom is admitted even if unused.
RW-T13-S3-002	54	2	SECURITY_FAULT	Override admission requires same scope, existence, ACTIVE, kind, and caller asset.read.
RW-T13-S3-003	54	3	SECURITY_FAULT	Cross-scope, missing, or unreadable override returns NOT_FOUND.
RW-T13-S3-004	54	4	DESIGN_INPUT_EXPRESSION	A valid override produces a request-only nonpersistent AdmittedAssetValue.
RW-T13-S3-005	55	1	DESIGN_INPUT_EXPRESSION	AdmittedAssetValue may traverse definitions, mappings, bindings, and fills without repeated actor authorization.
RW-T13-S3-006	55	2	ASSET_CAPABILITY_CONCURRENCY	Every final property consumer independently resolves Asset current.
RW-T13-S3-007	55	3	SECURITY_FAULT	Authored Asset values use internal same-scope Resolver after root Render authorization, without per-Asset caller read.
RW-T13-S3-008	56	1	SECURITY_FAULT	Root render and external override authorization are checked once at request admission.
RW-T13-S3-009	56	2	ASSET_CAPABILITY_CONCURRENCY	Later permission drift does not cancel the admitted request or reauthorize Resolver or lease.
