requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T05-S1-001	20	1	ASSET_CAPABILITY_CONCURRENCY	v1 Asset Management 只管理 IMAGE 与 FONT。
RW-T05-S1-002	20	2	WIRE_CANONICAL_DIGEST	assetId 由服务端生成，且为全局唯一 canonical lowercase UUID v4。
RW-T05-S1-003	20	3	ASSET_CAPABILITY_CONCURRENCY	Asset 是 identity 稳定的 aggregate。
RW-T05-S1-004	20	4	ASSET_CAPABILITY_CONCURRENCY	ownerScopeId、assetId、kind 创建后永久不变。
RW-T05-S1-005	20	5	ASSET_CAPABILITY_CONCURRENCY	Asset lifecycle 精确为 ACTIVE↔DELETED。
RW-T05-S1-006	20	6	ASSET_CAPABILITY_CONCURRENCY	Delete 是可恢复相同 identity 的 soft delete。
RW-T05-S1-007	20	7	ASSET_CAPABILITY_CONCURRENCY	v1 永久保留 aggregate、全部 content versions 与 bytes。
RW-T05-S1-008	20	8	SECURITY_FAULT	v1 不提供 physical purge。
RW-T05-S1-009	20	9	SECURITY_FAULT	禁止 cross-scope transfer/share 与 identity reuse。
RW-T05-S1-010	22	1	ASSET_CAPABILITY_CONCURRENCY	assetRevision 是 metadata/current/delete/restore 共用的单调 optimistic-concurrency token。
RW-T05-S1-011	22	2	WIRE_CANONICAL_DIGEST	assetRevision 不形成可恢复的完整 aggregate history。
RW-T05-S1-012	22	3	WIRE_CANONICAL_DIGEST	contentVersion 从 0 单调递增并仅标识 immutable AssetContentRevision。
RW-T05-S1-013	22	4	WIRE_CANONICAL_DIGEST	每个 content version 保存 server SHA-256、canonical mediaType、byteLength、base source filename、kind-specific metadata、acceptance Profile、actor 与 time。
RW-T05-S1-014	22	5	ASSET_CAPABILITY_CONCURRENCY	旧内容 restore 复用旧 Blob。
RW-T05-S1-015	22	6	ASSET_CAPABILITY_CONCURRENCY	旧内容 restore 追加新 contentVersion。
RW-T05-S1-016	22	7	ASSET_CAPABILITY_CONCURRENCY	旧内容 restore 将 current 推进到新 version。
RW-T05-S1-017	22	8	ASSET_CAPABILITY_CONCURRENCY	Content restore 不回拨或修改旧 version。
RW-T05-S1-018	24	1	WIRE_CANONICAL_DIGEST	displayName 是 required、mutable、non-unique user metadata。
RW-T05-S1-019	24	2	WIRE_CANONICAL_DIGEST	tags 是 mutable string set user metadata。
RW-T05-S1-020	24	3	WIRE_CANONICAL_DIGEST	displayName trim+NFC 后必须为 1–200 Unicode scalars。
RW-T05-S1-021	24	4	WIRE_CANONICAL_DIGEST	tags 数量最多 20。
RW-T05-S1-022	24	5	WIRE_CANONICAL_DIGEST	每个 tag trim+NFC 后必须为 1–64 Unicode scalars。
RW-T05-S1-023	24	6	WIRE_CANONICAL_DIGEST	tags 按 Unicode case-fold 去重但保留 display spelling。
RW-T05-S1-024	24	7	ASSET_CAPABILITY_CONCURRENCY	Tag update 整体替换并携带 expectedAssetRevision。
RW-T05-S1-025	24	8	SECURITY_FAULT	v1 不建立 Tag aggregate、hierarchy 或 global rename。
RW-T05-S1-026	24	9	WIRE_CANONICAL_DIGEST	sourceFileName 属于 content version 而非 aggregate metadata。
RW-T05-S1-027	24	10	SECURITY_FAULT	sourceFileName 仅保留无 path/control 的 base name，且最多 255 Unicode scalars。
RW-T05-S1-028	24	11	WIRE_CANONICAL_DIGEST	Asset detail 可投影 current content technical fields。
RW-T05-S1-029	26	1	ASSET_CAPABILITY_CONCURRENCY	exact renderweave-asset-acceptance/1.0 是 Asset Management 自有稳定 acceptance profile，而非动态 Renderer capability query。
