requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T14-S1-001	33	1	ASSET_CAPABILITY_CONCURRENCY	Rendering owns Evaluation Capability contracts.
RW-T14-S1-002	33	2	WIRE_CANONICAL_DIGEST	Each exact Expression Profile permanently maps to exact capability contracts.
RW-T14-S1-003	33	3	WIRE_CANONICAL_DIGEST	expression/1.0 maps only CLOCK and RANDOM to their frozen v1 contracts.
RW-T14-S1-004	33	4	SECURITY_FAULT	Template, use, request, and deployment cannot add, replace, mask, or negotiate capability contracts.
RW-T14-S1-005	34	1	WIRE_CANONICAL_DIGEST	Capability ValueSource has exactly three frozen closed wire shapes and typed outputs.
RW-T14-S1-006	34	2	SECURITY_FAULT	Capability wire forbids args, seed, timezone, contractVersion, latest, null, and unknown members.
RW-T14-S1-007	35	1	DESIGN_INPUT_EXPRESSION	Capability source is legal only as an explicit ExpressionDefinition input; source reads it through input alias.
RW-T14-S1-008	35	2	SECURITY_FAULT	Capability is not a function, schema, system map, or general ValueSource and is forbidden in Binding, Mapping, default, fill, structure, and property.
RW-T14-S1-009	36	1	DESIGN_INPUT_EXPRESSION	Save or recheck statically validates every authored closure capability source, including unused, unselected, and unreachable sources.
RW-T14-S1-010	36	2	SECURITY_FAULT	An illegal capability contract is a non-confirmable hard error.
RW-T14-S1-011	36	3	WIRE_CANONICAL_DIGEST	Admitted Profile support is permanent and capability declarations create no Asset-style reverse index or STALE propagation.
RW-T14-S2-001	40	1	ASSET_CAPABILITY_CONCURRENCY	CapabilityState creation occurs only after closure, profile, input, dynamic-Asset, and authored-dependency admissions succeed.
RW-T14-S2-002	40	2	SECURITY_FAULT	Any earlier failure performs zero Clock or entropy read.
RW-T14-S2-003	40	3	ASSET_CAPABILITY_CONCURRENCY	CapabilityState commits before the root invocation frame.
RW-T14-S2-004	41	1	ASSET_CAPABILITY_CONCURRENCY	Static scan covers all declared contracts in the complete closure, including unreachable or uninvoked sources.
RW-T14-S2-005	41	2	ASSET_CAPABILITY_CONCURRENCY	Any CLOCK declaration creates one Clock snapshot; any RANDOM declaration creates one nonce.
RW-T14-S2-006	41	3	SECURITY_FAULT	An undeclared component is not created; no capability source means no state record.
RW-T14-S2-007	41	4	WIRE_CANONICAL_DIGEST	Deployment must nevertheless fully support every admitted Expression Profile.
RW-T14-S2-008	42	1	ASSET_CAPABILITY_CONCURRENCY	One root Evaluation has one CapabilityState shared across actual child invocations and related output commands.
RW-T14-S2-009	42	2	ASSET_CAPABILITY_CONCURRENCY	A different RootDocument, root Template, or batch record requires a distinct Evaluation state.
RW-T14-S2-010	43	1	SECURITY_FAULT	Rendering creates an internal renderRequestId; the caller cannot select the state key.
RW-T14-S2-011	43	2	ASSET_CAPABILITY_CONCURRENCY	Future public retry can resume only through an authorized server mapping or handle for the same fingerprint.
RW-T14-S2-012	43	3	SECURITY_FAULT	Retry identity cannot select time or nonce or reuse state for another request.
RW-T14-S3-001	47	1	ASSET_CAPABILITY_CONCURRENCY	Clock reads one UTC instant during state linearization and truncates toward the past whole second.
RW-T14-S3-002	47	2	DESIGN_INPUT_EXPRESSION	Clock domain is proleptic Gregorian year 1 through 9999 and whole-day time range, without leap seconds.
RW-T14-S3-003	47	3	SECURITY_FAULT	Provider error or out-of-range Clock result fails the request.
RW-T14-S3-004	48	1	DESIGN_INPUT_EXPRESSION	UTC_DATE and UTC_TIME project canonical date and time from the same snapshot without midnight mixing.
RW-T14-S3-005	48	2	ASSET_CAPABILITY_CONCURRENCY	Different aliases or frames remain distinct budgeted and digested call positions even if values match.
RW-T14-S3-006	49	1	SECURITY_FAULT	Clock is UTC-only and reads no server, browser, tenant, or actor timezone.
RW-T14-S3-007	49	2	DESIGN_INPUT_EXPRESSION	Business-local time must enter as RootDocument or Custom input.
RW-T14-S3-008	49	3	SECURITY_FAULT	Clock exposes no datetime, instant, epoch, offset, timezone, or text.
RW-T14-S3-009	50	1	SECURITY_FAULT	Expression Clock is isolated from deadline, timeout, latency, and expiry clocks.
RW-T14-S3-010	50	2	ASSET_CAPABILITY_CONCURRENCY	Wall-clock changes after snapshot do not change the value; operation timing never enters Expression.
